No_Die,Datetime,Lot_Num,Wafer_Num,Chamber_Num,process4,Flux60s,Flux90s,Flux160s,Flux480s,Flux840s,input_Energy,Current,Temp_implantation,Furance_Temp,RTA_Temp
NOLSM157622,22-02-2019 ?? 9:04:30,6,22,2,Implantation,1.35E+16,6.67E+16,6.27E+17,2.98E+17,6.00E+17,31843.827,0.01,100.682,912,152
NOLSM158623,22-02-2019 ?? 9:04:30,6,23,1,Implantation,2.21E+16,1.51E+17,4.07E+17,3.01E+17,6.00E+17,31872.384,0.01,104.516,898,152
NOLSM159624,22-02-2019 ?? 9:04:30,6,24,1,Implantation,9.31E+15,4.15E+16,8.62E+17,2.99E+17,6.00E+17,31336.263,0.01,102.568,895,156
NOLSM160625,22-02-2019 ?? 9:04:30,6,25,2,Implantation,1.36E+16,1.18E+17,5.84E+17,3.01E+17,6.00E+17,33259.559,0.01,103.466,866,157
NOLSM161626,22-02-2019 ?? 9:04:30,6,26,3,Implantation,1.45E+16,9.28E+16,5.70E+17,2.98E+17,6.00E+17,31061.816,0.01,100.571,908,153
NOLSM162627,22-02-2019 ?? 9:04:30,6,27,3,Implantation,1.18E+16,1.38E+17,1.13E+17,2.98E+17,6.00E+17,32412.623,0.01,100.917,905,150
NOLSM16371,23-02-2019 ?? 9:04:30,7,1,2,Implantation,9.27E+15,8.88E+16,8.10E+17,3.01E+17,6.00E+17,31617.743,0.01,104.322,891,152
NOLSM16472,23-02-2019 ?? 9:04:30,7,2,1,Implantation,1.45E+16,1.71E+17,6.85E+17,3.01E+17,6.00E+17,31073.304,0.01,104.046,894,155
NOLSM16573,23-02-2019 ?? 9:04:30,7,3,1,Implantation,8.32E+15,1.34E+17,8.38E+17,3.03E+17,6.00E+17,30527.029,0.01,105.044,914,153
NOLSM16674,23-02-2019 ?? 9:04:30,7,4,2,Implantation,1.96E+16,9.82E+16,6.89E+17,3.00E+17,6.00E+17,31488.967,0.01,101.687,919,155
NOLSM16775,23-02-2019 ?? 9:04:30,7,5,3,Implantation,6.85E+15,1.39E+17,5.96E+17,3.00E+17,6.00E+17,32340.532,0.01,102.582,920,154
NOLSM16876,23-02-2019 ?? 9:04:30,7,6,3,Implantation,9.30E+15,1.24E+17,1.11E+18,3.02E+17,6.00E+17,31485.171,0.01,104.046,914,153
NOLSM16977,23-02-2019 ?? 9:04:30,7,7,2,Implantation,1.28E+16,3.26E+16,7.46E+17,3.00E+17,6.00E+17,32281.227,0.01,103.846,899,157
NOLSM17078,23-02-2019 ?? 9:04:30,7,8,1,Implantation,6.91E+15,1.18E+17,7.90E+17,3.00E+17,6.00E+17,31613.412,0.01,103.105,867,154
NOLSM17179,23-02-2019 ?? 9:04:30,7,9,1,Implantation,2.00E+16,1.35E+17,6.04E+17,2.99E+17,6.00E+17,31933.395,0.01,100.853,891,153
NOLSM172710,23-02-2019 ?? 9:04:30,7,10,2,Implantation,1.21E+16,1.46E+17,9.90E+17,3.01E+17,6.00E+17,32572.997,0.01,102.439,884,153
NOLSM173711,23-02-2019 ?? 9:04:30,7,11,3,Implantation,1.28E+16,1.39E+17,5.17E+17,2.98E+17,6.00E+17,30988.997,0.01,103.606,882,155
NOLSM174712,23-02-2019 ?? 9:04:30,7,12,2,Implantation,1.24E+16,1.66E+17,9.27E+16,2.99E+17,6.00E+17,31246.691,0.01,104.056,891,153
NOLSM175713,23-02-2019 ?? 9:04:30,7,13,1,Implantation,2.33E+16,1.27E+17,6.36E+17,3.00E+17,6.00E+17,31441.726,0.01,101.041,914,152
NOLSM176714,23-02-2019 ?? 9:04:30,7,14,1,Implantation,1.56E+16,1.38E+17,3.54E+17,3.01E+17,6.00E+17,31784.636,0.01,98.623,879,155
NOLSM177715,23-02-2019 ?? 9:04:30,7,15,3,Implantation,1.55E+16,6.93E+16,5.60E+17,3.00E+17,6.00E+17,32590.331,0.01,100.715,887,154
NOLSM178716,23-02-2019 ?? 9:04:30,7,16,3,Implantation,1.08E+16,2.16E+16,7.04E+16,3.00E+17,6.00E+17,30585.399,0.01,102.692,915,155
NOLSM179717,23-02-2019 ?? 9:04:30,7,17,1,Implantation,1.17E+16,6.61E+16,3.31E+17,3.01E+17,6.00E+17,31756.475,0.01,104.722,922,151
NOLSM180718,23-02-2019 ?? 9:04:30,7,18,1,Implantation,1.60E+16,1.35E+17,6.72E+17,2.99E+17,6.00E+17,30418.922,0.01,103.391,890,157
NOLSM181719,23-02-2019 ?? 9:04:30,7,19,2,Implantation,1.10E+16,1.68E+17,5.63E+17,3.01E+17,6.00E+17,31410.459,0.01,104.351,905,154
NOLSM182720,23-02-2019 ?? 9:04:30,7,20,3,Implantation,9.31E+15,7.49E+16,3.28E+17,3.01E+17,6.00E+17,32178.83,0.01,102.592,909,157
NOLSM183721,23-02-2019 ?? 9:04:30,7,21,3,Implantation,1.68E+16,7.88E+16,6.86E+17,3.01E+17,6.00E+17,33085.183,0.01,101.153,858,153
NOLSM184722,23-02-2019 ?? 9:04:30,7,22,2,Implantation,1.45E+16,1.32E+17,1.10E+17,3.03E+17,6.00E+17,30972.523,0.01,104.541,904,155
NOLSM185723,23-02-2019 ?? 9:04:30,7,23,1,Implantation,9.39E+15,1.77E+17,6.66E+17,3.01E+17,6.00E+17,31807.558,0.01,102.336,932,155
NOLSM186724,23-02-2019 ?? 9:04:30,7,24,1,Implantation,5.63E+15,1.28E+17,9.87E+17,3.00E+17,6.00E+17,30912.449,0.01,103.123,928,156
NOLSM187725,23-02-2019 ?? 9:04:30,7,25,2,Implantation,1.47E+16,1.69E+17,7.68E+17,3.03E+17,6.00E+17,32605.348,0.01,104.08,891,152
NOLSM188726,23-02-2019 ?? 9:04:30,7,26,3,Implantation,8.72E+15,3.87E+16,7.66E+17,2.98E+17,6.00E+17,31458.025,0.01,102.97,904,156
NOLSM189727,23-02-2019 ?? 9:04:30,7,27,3,Implantation,1.32E+16,5.76E+16,5.47E+17,2.99E+17,6.00E+17,32346.439,0.01,100.22,913,151
NOLSM19081,24-02-2019 ?? 9:04:30,8,1,2,Implantation,1.44E+16,1.21E+17,5.28E+17,3.03E+17,6.00E+17,33280.627,0.01,100.796,904,152
NOLSM19182,24-02-2019 ?? 9:04:30,8,2,1,Implantation,1.55E+16,1.40E+17,5.78E+17,3.00E+17,6.00E+17,31912.806,0.01,102.332,895,156
NOLSM19283,24-02-2019 ?? 9:04:30,8,3,1,Implantation,8.08E+15,1.89E+17,4.87E+17,2.99E+17,6.00E+17,32777.771,0.01,102.857,879,150
NOLSM19384,24-02-2019 ?? 9:04:30,8,4,2,Implantation,1.53E+16,7.16E+16,1.24E+18,3.02E+17,6.00E+17,31290.562,0.01,106.97,870,157
NOLSM19485,24-02-2019 ?? 9:04:30,8,5,3,Implantation,1.13E+16,4.06E+16,8.23E+17,3.01E+17,6.00E+17,31298.499,0.01,101.301,894,157
NOLSM19586,24-02-2019 ?? 9:04:30,8,6,3,Implantation,1.24E+16,5.16E+16,5.18E+17,3.01E+17,6.00E+17,30209.569,0.01,102.224,923,157
NOLSM19687,24-02-2019 ?? 9:04:30,8,7,2,Implantation,7.39E+15,7.22E+16,8.49E+17,3.00E+17,6.00E+17,32162.117,0.01,102.221,898,156
NOLSM19788,24-02-2019 ?? 9:04:30,8,8,1,Implantation,1.27E+16,7.62E+15,6.70E+17,2.98E+17,6.00E+17,32339.953,0.01,104.815,899,155
NOLSM19889,24-02-2019 ?? 9:04:30,8,9,1,Implantation,8.43E+15,6.96E+16,4.74E+17,2.99E+17,6.00E+17,31741.742,0.01,105.283,904,157
NOLSM199810,24-02-2019 ?? 9:04:30,8,10,2,Implantation,1.18E+16,3.50E+16,4.35E+17,3.00E+17,6.00E+17,31722.431,0.01,104.227,907,155
NOLSM200811,24-02-2019 ?? 9:04:30,8,11,3,Implantation,1.77E+16,1.21E+17,5.48E+17,3.01E+17,6.00E+17,32069.305,0.01,104.593,877,156
NOLSM201812,24-02-2019 ?? 9:04:30,8,12,3,Implantation,1.32E+16,5.32E+15,1.04E+18,3.00E+17,6.00E+17,32157.206,0.01,100.959,919,149
NOLSM202813,24-02-2019 ?? 9:04:30,8,13,2,Implantation,9.53E+15,8.84E+16,4.29E+17,2.99E+17,6.00E+17,31335.445,0.01,104.221,906,154
NOLSM203814,24-02-2019 ?? 9:04:30,8,14,1,Implantation,1.13E+16,2.72E+17,6.65E+17,2.99E+17,6.00E+17,30860.348,0.01,104.622,904,154
NOLSM204815,24-02-2019 ?? 9:04:30,8,15,1,Implantation,1.91E+16,1.09E+17,1.32E+17,3.03E+17,6.00E+17,31055.863,0.01,103.647,890,154
NOLSM205816,24-02-2019 ?? 9:04:30,8,16,3,Implantation,1.36E+16,5.26E+16,3.97E+17,3.01E+17,6.00E+17,32209.624,0.01,104.262,897,152
NOLSM206817,24-02-2019 ?? 9:04:30,8,17,3,Implantation,8.38E+15,1.43E+17,9.45E+17,3.00E+17,6.00E+17,31158.129,0.01,105.389,892,158
NOLSM207818,24-02-2019 ?? 9:04:30,8,18,2,Implantation,1.77E+16,1.16E+17,4.54E+17,3.00E+17,6.00E+17,31315.872,0.01,104.129,875,156
NOLSM208819,24-02-2019 ?? 9:04:30,8,19,1,Implantation,1.07E+16,1.77E+17,1.10E+18,3.00E+17,6.00E+17,31307.494,0.01,102.62,899,154
NOLSM209820,24-02-2019 ?? 9:04:30,8,20,1,Implantation,8.11E+15,1.45E+17,5.52E+17,3.02E+17,6.00E+17,33410.508,0.01,101.369,915,153
NOLSM210821,24-02-2019 ?? 9:04:30,8,21,3,Implantation,6.51E+15,9.71E+16,6.28E+17,2.99E+17,6.00E+17,32024.685,0.01,104.31,921,155
NOLSM211822,24-02-2019 ?? 9:04:30,8,22,3,Implantation,6.80E+15,5.40E+16,3.38E+17,3.01E+17,6.00E+17,31914.156,0.01,103.005,919,156
NOLSM212823,24-02-2019 ?? 9:04:30,8,23,2,Implantation,1.22E+16,5.67E+16,6.37E+17,3.01E+17,6.00E+17,32145.311,0.01,105.287,906,154
NOLSM213824,24-02-2019 ?? 9:04:30,8,24,1,Implantation,1.17E+16,1.76E+17,6.59E+17,3.00E+17,6.00E+17,31367.451,0.01,104.953,904,156
NOLSM214825,24-02-2019 ?? 9:04:30,8,25,1,Implantation,7.50E+15,4.31E+16,8.26E+17,3.01E+17,6.00E+17,31803.123,0.01,101.499,924,158
NOLSM215826,24-02-2019 ?? 9:04:30,8,26,2,Implantation,1.34E+16,8.61E+16,7.30E+17,3.01E+17,6.00E+17,32135.071,0.01,101.24,892,156
NOLSM216827,24-02-2019 ?? 9:04:30,8,27,3,Implantation,1.35E+16,8.91E+16,2.67E+17,3.00E+17,6.00E+17,31851.921,0.01,102.118,907,157
NOLSM21791,25-02-2019 ?? 9:04:30,9,1,3,Implantation,1.35E+16,4.33E+16,6.72E+17,2.99E+17,6.00E+17,31527.587,0.01,97.744,914,151
NOLSM21892,25-02-2019 ?? 9:04:30,9,2,2,Implantation,1.44E+16,4.99E+16,5.27E+17,3.01E+17,6.00E+17,32215.538,0.01,103.454,910,152
NOLSM21993,25-02-2019 ?? 9:04:30,9,3,1,Implantation,1.95E+16,3.40E+16,1.09E+18,2.99E+17,6.00E+17,32325.654,0.01,102.423,907,157
NOLSM22094,25-02-2019 ?? 9:04:30,9,4,1,Implantation,1.17E+16,7.80E+15,4.86E+17,3.00E+17,6.00E+17,31723.494,0.01,103.422,900,155
NOLSM22195,25-02-2019 ?? 9:04:30,9,5,2,Implantation,9.58E+15,1.35E+17,5.71E+17,2.99E+17,6.00E+17,32407.745,0.01,102.429,900,150
NOLSM22296,25-02-2019 ?? 9:04:30,9,6,3,Implantation,1.87E+16,3.01E+16,8.68E+17,3.01E+17,6.00E+17,32497.987,0.01,102.546,919,156
NOLSM22397,25-02-2019 ?? 9:04:30,9,7,3,Implantation,1.44E+16,9.13E+16,6.47E+17,3.00E+17,6.00E+17,32148.097,0.01,102.642,892,154
NOLSM22498,25-02-2019 ?? 9:04:30,9,8,1,Implantation,1.77E+16,9.62E+16,8.53E+17,2.98E+17,6.00E+17,31400.682,0.01,101.624,871,155
NOLSM22599,25-02-2019 ?? 9:04:30,9,9,1,Implantation,1.23E+16,8.67E+16,2.55E+17,3.00E+17,6.00E+17,31093.126,0.01,102.801,898,153
NOLSM226910,25-02-2019 ?? 9:04:30,9,10,2,Implantation,8.76E+15,1.58E+17,9.49E+17,2.99E+17,6.00E+17,31269.035,0.01,103.405,909,159
NOLSM227911,25-02-2019 ?? 9:04:30,9,11,3,Implantation,9.57E+15,1.41E+17,5.76E+17,3.01E+17,6.00E+17,32130.96,0.01,103.151,921,152
NOLSM228912,25-02-2019 ?? 9:04:30,9,12,3,Implantation,1.20E+16,1.56E+17,1.40E+18,3.02E+17,6.00E+17,32270.306,0.01,103.157,891,152
NOLSM229913,25-02-2019 ?? 9:04:30,9,13,2,Implantation,1.48E+16,5.99E+16,5.52E+17,3.00E+17,6.00E+17,31181.18,0.01,102.288,915,157
NOLSM230914,25-02-2019 ?? 9:04:30,9,14,1,Implantation,6.66E+15,5.41E+16,5.00E+17,2.99E+17,6.00E+17,31249.611,0.01,102.036,893,155
NOLSM231915,25-02-2019 ?? 9:04:30,9,15,1,Implantation,9.26E+15,1.08E+17,1.09E+18,3.01E+17,6.00E+17,30899.82,0.01,104.486,907,155
NOLSM232916,25-02-2019 ?? 9:04:30,9,16,2,Implantation,1.14E+16,1.13E+17,4.62E+17,3.00E+17,6.00E+17,31964.942,0.01,104.584,885,156
NOLSM233917,25-02-2019 ?? 9:04:30,9,17,3,Implantation,8.44E+15,9.18E+16,8.33E+17,3.00E+17,6.00E+17,32318.607,0.01,102.912,905,156
NOLSM234918,25-02-2019 ?? 9:04:30,9,18,3,Implantation,9.64E+15,7.41E+16,2.40E+17,3.00E+17,6.00E+17,31891.406,0.01,102.015,883,155
NOLSM235919,25-02-2019 ?? 9:04:30,9,19,2,Implantation,9.12E+15,4.07E+16,2.54E+17,3.01E+17,6.00E+17,31409.106,0.01,102.6,895,155
NOLSM236920,25-02-2019 ?? 9:04:30,9,20,1,Implantation,6.98E+15,5.54E+16,8.43E+17,3.01E+17,6.00E+17,32608.352,0.01,103.128,900,152
NOLSM237921,25-02-2019 ?? 9:04:30,9,21,1,Implantation,4.55E+15,6.94E+16,4.57E+17,2.98E+17,6.00E+17,32496.871,0.01,104.199,916,159
NOLSM238922,25-02-2019 ?? 9:04:30,9,22,2,Implantation,1.60E+16,1.43E+17,5.02E+17,3.02E+17,6.00E+17,31912.056,0.01,106.428,898,154
NOLSM239923,25-02-2019 ?? 9:04:30,9,23,3,Implantation,1.10E+16,7.72E+16,6.64E+16,3.03E+17,6.00E+17,31192.302,0.01,103.46,916,154
NOLSM240924,25-02-2019 ?? 9:04:30,9,24,2,Implantation,1.75E+16,1.39E+17,6.15E+17,3.00E+17,6.00E+17,31265.612,0.01,105.779,884,154
NOLSM241925,25-02-2019 ?? 9:04:30,9,25,1,Implantation,1.18E+16,7.14E+16,5.56E+17,2.99E+17,6.00E+17,32341.911,0.01,102.258,897,157
NOLSM242926,25-02-2019 ?? 9:04:30,9,26,1,Implantation,6.10E+15,1.23E+16,1.06E+18,3.00E+17,6.00E+17,31982.396,0.01,103.03,893,157
NOLSM243927,25-02-2019 ?? 9:04:30,9,27,2,Implantation,9.91E+15,1.06E+17,6.60E+17,3.00E+17,6.00E+17,31768.47,0.01,104.863,896,155
NOLSM244101,26-02-2019 ?? 9:04:30,10,1,3,Implantation,1.18E+16,1.18E+17,6.36E+17,3.00E+17,6.00E+17,32163.791,0.01,100.24,908,158
NOLSM245102,26-02-2019 ?? 9:04:30,10,2,3,Implantation,1.59E+16,1.22E+17,6.64E+17,3.00E+17,6.00E+17,31833.551,0.01,102.338,886,156
NOLSM246103,26-02-2019 ?? 9:04:30,10,3,2,Implantation,1.41E+16,1.29E+17,3.86E+17,3.03E+17,6.00E+17,32188.226,0.01,106.191,896,153
NOLSM247104,26-02-2019 ?? 9:04:30,10,4,1,Implantation,1.60E+16,7.80E+16,3.19E+16,2.99E+17,6.00E+17,32228.325,0.01,102.064,891,158
NOLSM248105,26-02-2019 ?? 9:04:30,10,5,1,Implantation,1.31E+16,1.08E+17,8.48E+17,3.00E+17,6.00E+17,30846.811,0.01,101.812,887,154
NOLSM249106,26-02-2019 ?? 9:04:30,10,6,3,Implantation,1.23E+16,1.52E+17,6.81E+17,3.01E+17,6.00E+17,32759.266,0.01,106.709,904,151
NOLSM250107,26-02-2019 ?? 9:04:30,10,7,3,Implantation,1.24E+16,9.84E+16,4.61E+17,3.02E+17,6.00E+17,32057.894,0.01,101.318,908,157
NOLSM251108,26-02-2019 ?? 9:04:30,10,8,2,Implantation,6.23E+15,7.04E+16,5.95E+17,2.99E+17,6.00E+17,31994.968,0.01,103.206,893,155
NOLSM252109,26-02-2019 ?? 9:04:30,10,9,1,Implantation,1.50E+16,8.48E+16,9.33E+17,3.01E+17,6.00E+17,31986.81,0.01,101.812,879,152
NOLSM2531010,26-02-2019 ?? 9:04:30,10,10,1,Implantation,1.62E+16,1.59E+17,5.12E+17,3.01E+17,6.00E+17,31791.31,0.01,104.329,873,154
NOLSM2541011,26-02-2019 ?? 9:04:30,10,11,3,Implantation,9.50E+15,5.70E+16,8.14E+17,3.03E+17,6.00E+17,30626.351,0.01,100.865,871,156
NOLSM2551012,26-02-2019 ?? 9:04:30,10,12,2,Implantation,1.03E+16,6.98E+16,2.86E+17,3.00E+17,6.00E+17,31950.761,0.01,103.631,898,153
NOLSM2561013,26-02-2019 ?? 9:04:30,10,13,1,Implantation,8.47E+15,7.01E+16,5.18E+17,2.99E+17,6.00E+17,31352.585,0.01,103.491,909,155
NOLSM2571014,26-02-2019 ?? 9:04:30,10,14,1,Implantation,1.47E+16,6.69E+16,6.47E+17,3.01E+17,6.00E+17,30552.557,0.01,103.142,944,155
NOLSM2581015,26-02-2019 ?? 9:04:30,10,15,2,Implantation,2.49E+15,1.06E+17,7.89E+17,2.99E+17,6.00E+17,31715.512,0.01,103.914,896,155
NOLSM2591016,26-02-2019 ?? 9:04:30,10,16,3,Implantation,1.30E+16,1.46E+17,6.70E+17,2.97E+17,6.00E+17,30474.163,0.01,101.145,898,156
NOLSM2601017,26-02-2019 ?? 9:04:30,10,17,3,Implantation,1.14E+16,1.70E+17,6.04E+17,2.98E+17,6.00E+17,31692.92,0.01,102.863,931,157
NOLSM2611018,26-02-2019 ?? 9:04:30,10,18,2,Implantation,1.36E+16,5.92E+16,4.01E+17,2.99E+17,6.00E+17,31037.529,0.01,101.615,920,155
NOLSM2621019,26-02-2019 ?? 9:04:30,10,19,1,Implantation,2.40E+16,3.60E+16,5.70E+17,2.99E+17,6.00E+17,31925.006,0.01,102.899,889,153
NOLSM2631020,26-02-2019 ?? 9:04:30,10,20,1,Implantation,7.89E+15,8.70E+16,5.67E+17,2.98E+17,6.00E+17,32001.77,0.01,102.186,908,154
NOLSM2641021,26-02-2019 ?? 9:04:30,10,21,2,Implantation,1.20E+16,1.23E+17,5.55E+17,3.01E+17,6.00E+17,31568.412,0.01,103.001,902,156
NOLSM2651022,26-02-2019 ?? 9:04:30,10,22,3,Implantation,8.22E+15,1.44E+17,6.40E+17,3.00E+17,6.00E+17,32672.059,0.01,104.117,879,152
NOLSM2661023,26-02-2019 ?? 9:04:30,10,23,3,Implantation,7.69E+15,1.23E+17,6.92E+17,3.01E+17,6.00E+17,32628.909,0.01,98.842,919,155
NOLSM2671024,26-02-2019 ?? 9:04:30,10,24,2,Implantation,1.79E+16,8.32E+16,6.34E+17,2.99E+17,6.00E+17,31536.829,0.01,104.62,912,154
NOLSM2681025,26-02-2019 ?? 9:04:30,10,25,1,Implantation,2.12E+15,4.49E+16,6.60E+16,2.99E+17,6.00E+17,30765.724,0.01,103.031,907,153
NOLSM2691026,26-02-2019 ?? 9:04:30,10,26,1,Implantation,1.25E+16,1.11E+17,2.40E+17,3.00E+17,6.00E+17,30855.999,0.01,103.879,902,155
NOLSM2701027,26-02-2019 ?? 9:04:30,10,27,2,Implantation,1.22E+16,9.77E+16,1.12E+18,3.02E+17,6.00E+17,30260.942,0.01,104.194,893,154
NOLSM271111,27-02-2019 ?? 9:04:30,11,1,3,Implantation,1.15E+16,1.29E+17,8.39E+17,3.02E+17,6.00E+17,32089.235,0.01,100.754,888,156
NOLSM272112,27-02-2019 ?? 9:04:30,11,2,3,Implantation,1.41E+16,1.18E+17,1.23E+18,3.00E+17,6.00E+17,31101.358,0.01,104.603,890,153
NOLSM273113,27-02-2019 ?? 9:04:30,11,3,2,Implantation,1.11E+16,5.08E+16,4.17E+17,3.00E+17,6.00E+17,31101.109,0.01,102.154,888,154
NOLSM274114,27-02-2019 ?? 9:04:30,11,4,1,Implantation,7.59E+15,4.08E+16,4.13E+17,2.98E+17,6.00E+17,31914.677,0.01,103.802,904,153
NOLSM275115,27-02-2019 ?? 9:04:30,11,5,1,Implantation,7.10E+15,6.08E+16,5.68E+17,2.99E+17,6.00E+17,31281.213,0.01,101.05,887,155
NOLSM276116,27-02-2019 ?? 9:04:30,11,6,2,Implantation,1.48E+16,6.29E+16,5.66E+17,3.00E+17,6.00E+17,32238.201,0.01,100.772,901,155
NOLSM277117,27-02-2019 ?? 9:04:30,11,7,3,Implantation,8.37E+15,1.16E+17,5.91E+17,2.99E+17,6.00E+17,30611.506,0.01,103.577,915,151
NOLSM278118,27-02-2019 ?? 9:04:30,11,8,3,Implantation,1.35E+16,1.68E+16,8.49E+17,3.00E+17,6.00E+17,32930.382,0.01,104.111,894,153
NOLSM279119,27-02-2019 ?? 9:04:30,11,9,2,Implantation,1.44E+16,1.38E+17,4.48E+17,2.99E+17,6.00E+17,32577.756,0.01,100.455,913,153
NOLSM2801110,27-02-2019 ?? 9:04:30,11,10,1,Implantation,1.65E+16,1.01E+17,6.97E+17,2.99E+17,6.00E+17,30639.973,0.01,101.681,886,155
NOLSM2811111,27-02-2019 ?? 9:04:30,11,11,1,Implantation,1.20E+16,1.04E+17,6.86E+17,3.02E+17,6.00E+17,32421.295,0.01,101.155,884,159
NOLSM2821112,27-02-2019 ?? 9:04:30,11,12,2,Implantation,1.43E+16,1.23E+17,3.73E+17,3.01E+17,6.00E+17,31535.79,0.01,102.354,873,150
NOLSM2831113,27-02-2019 ?? 9:04:30,11,13,3,Implantation,7.62E+15,6.40E+16,4.37E+17,3.01E+17,6.00E+17,31051.425,0.01,105.095,891,156
NOLSM2841114,27-02-2019 ?? 9:04:30,11,14,3,Implantation,1.58E+16,2.12E+17,6.83E+17,2.98E+17,6.00E+17,31362.147,0.01,102.547,898,156
NOLSM2851115,27-02-2019 ?? 9:04:30,11,15,2,Implantation,1.02E+16,6.33E+16,3.52E+17,3.02E+17,6.00E+17,31990.919,0.01,103.674,915,154
NOLSM2861116,27-02-2019 ?? 9:04:30,11,16,1,Implantation,1.39E+16,2.27E+16,6.22E+17,2.99E+17,6.00E+17,30310.73,0.01,101.148,906,155
NOLSM2871117,27-02-2019 ?? 9:04:30,11,17,1,Implantation,1.77E+16,1.55E+17,7.54E+17,2.98E+17,6.00E+17,31613.386,0.01,105.532,913,159
NOLSM2881118,27-02-2019 ?? 9:04:30,11,18,2,Implantation,7.64E+15,1.59E+17,5.85E+17,2.97E+17,6.00E+17,31566.201,0.01,103.891,886,153
NOLSM2891119,27-02-2019 ?? 9:04:30,11,19,3,Implantation,1.80E+16,1.82E+17,5.51E+17,3.01E+17,6.00E+17,29986.195,0.01,101.488,923,155
NOLSM2901120,27-02-2019 ?? 9:04:30,11,20,3,Implantation,1.12E+16,1.09E+17,4.84E+17,3.01E+17,6.00E+17,31292.696,0.01,102.588,888,154
NOLSM2911121,27-02-2019 ?? 9:04:30,11,21,2,Implantation,1.81E+16,1.51E+17,5.61E+17,2.99E+17,6.00E+17,32226.582,0.01,102.695,936,153
NOLSM2921122,27-02-2019 ?? 9:04:30,11,22,1,Implantation,1.26E+16,8.18E+16,1.02E+18,3.02E+17,6.00E+17,32025.475,0.01,105.206,924,157
NOLSM2931123,27-02-2019 ?? 9:04:30,11,23,1,Implantation,1.30E+16,1.76E+17,6.91E+17,3.00E+17,6.00E+17,31834.866,0.01,101.258,919,152
NOLSM2941124,27-02-2019 ?? 9:04:30,11,24,3,Implantation,1.11E+16,1.32E+17,6.29E+17,3.01E+17,6.00E+17,33675.551,0.01,103.056,911,157
NOLSM2951125,27-02-2019 ?? 9:04:30,11,25,3,Implantation,1.53E+16,1.23E+17,2.97E+17,3.02E+17,6.00E+17,31139.137,0.01,104.859,915,153
NOLSM2961126,27-02-2019 ?? 9:04:30,11,26,2,Implantation,1.62E+16,9.05E+16,3.45E+17,2.99E+17,6.00E+17,31366.628,0.01,103.293,875,152
NOLSM2971127,27-02-2019 ?? 9:04:30,11,27,1,Implantation,1.83E+16,2.77E+16,1.05E+18,3.00E+17,6.00E+17,31408.661,0.01,103.015,902,156
NOLSM298121,28-02-2019 ?? 9:04:30,12,1,1,Implantation,8.57E+15,8.71E+16,7.37E+17,3.03E+17,6.00E+17,31654.923,0.01,100.542,917,150
NOLSM299122,28-02-2019 ?? 9:04:30,12,2,3,Implantation,1.36E+16,1.18E+17,5.86E+17,3.00E+17,6.00E+17,32420.46,0.01,102.947,884,152
NOLSM300123,28-02-2019 ?? 9:04:30,12,3,3,Implantation,1.59E+16,5.51E+16,5.10E+17,3.00E+17,6.00E+17,32096.305,0.01,102.504,896,158
NOLSM301124,28-02-2019 ?? 9:04:30,12,4,2,Implantation,1.20E+16,1.24E+17,2.27E+17,2.98E+17,6.00E+17,32563.022,0.01,100.521,901,152
NOLSM302125,28-02-2019 ?? 9:04:30,12,5,1,Implantation,1.18E+16,1.01E+17,6.66E+16,2.98E+17,6.00E+17,30885.27,0.01,102.933,884,156
NOLSM303126,28-02-2019 ?? 9:04:30,12,6,1,Implantation,1.02E+16,1.46E+17,6.64E+17,3.01E+17,6.00E+17,31320.289,0.01,101.766,884,153
NOLSM304127,28-02-2019 ?? 9:04:30,12,7,2,Implantation,1.33E+16,1.28E+17,6.79E+17,3.00E+17,6.00E+17,31878.063,0.01,103.123,910,152
NOLSM305128,28-02-2019 ?? 9:04:30,12,8,3,Implantation,1.42E+16,7.44E+16,4.61E+17,2.98E+17,6.00E+17,32007.987,0.01,103.511,886,155
NOLSM306129,28-02-2019 ?? 9:04:30,12,9,3,Implantation,1.23E+16,1.64E+17,6.50E+17,2.98E+17,6.00E+17,31060.004,0.01,101.271,880,155
NOLSM3071210,28-02-2019 ?? 9:04:30,12,10,2,Implantation,1.43E+16,1.42E+17,5.39E+16,3.03E+17,6.00E+17,31195.899,0.01,99.876,896,156
NOLSM3081211,28-02-2019 ?? 9:04:30,12,11,1,Implantation,1.56E+16,1.15E+17,1.04E+18,3.01E+17,6.00E+17,30345.646,0.01,104.46,883,153
NOLSM3091212,28-02-2019 ?? 9:04:30,12,12,1,Implantation,9.04E+15,1.57E+17,1.96E+17,2.99E+17,6.00E+17,32640.339,0.01,103.302,870,154
NOLSM3101213,28-02-2019 ?? 9:04:30,12,13,2,Implantation,9.26E+15,6.70E+16,7.00E+17,3.02E+17,6.00E+17,31812.925,0.01,103.133,906,151
NOLSM3111214,28-02-2019 ?? 9:04:30,12,14,3,Implantation,9.01E+15,8.81E+16,1.08E+18,2.99E+17,6.00E+17,31897.15,0.01,104.146,885,156
NOLSM3121215,28-02-2019 ?? 9:04:30,12,15,2,Implantation,7.39E+15,1.30E+17,3.11E+17,3.01E+17,6.00E+17,31335.259,0.01,100.331,913,155
NOLSM3131216,28-02-2019 ?? 9:04:30,12,16,1,Implantation,1.33E+16,1.42E+17,3.54E+17,2.99E+17,6.00E+17,31661.888,0.01,102.524,885,154
