No_Die,Datetime,Lot_Num,Wafer_Num,photo_soft_Chamber,process 2,resist_target,N2_HMDS,pressure_HMDS,temp_HMDS,temp_HMDS_bake,time_HMDS_bake,spin1,spin2,spin3,photoresist_bake,temp_softbake,time_softbake
NOLSM16371,23-02-2019 ?? 9:04:30,7,1,2,Photo,0.62438,12.448,15.074,19.997,199.594,90,497.408,4023.411,5091.006,5.011,92.114,29.994
NOLSM16472,23-02-2019 ?? 9:04:30,7,2,2,Photo,1.37233,18.485,15.097,20.005,195.839,90,498.089,4068.182,4862.981,5.041,91.493,29.997
NOLSM16573,23-02-2019 ?? 9:04:30,7,3,3,Photo,0.79249,14.916,15.12,19.996,200.519,90,496.931,4108.048,4993.695,5.056,92.321,29.999
NOLSM16674,23-02-2019 ?? 9:04:30,7,4,3,Photo,1.81996,17.434,14.949,20,201.888,90,499.993,3956.855,4867.108,5.077,93.5,29.993
NOLSM16775,23-02-2019 ?? 9:04:30,7,5,3,Photo,0.9199,12.611,15.018,19.995,200.247,90,506.359,3959.731,5028.945,5.062,92.406,29.995
NOLSM16876,23-02-2019 ?? 9:04:30,7,6,1,Photo,1.43437,18.507,14.899,20.001,205.061,90.001,495.368,3998.319,5002.267,5.119,93.069,30.008
NOLSM16977,23-02-2019 ?? 9:04:30,7,7,1,Photo,1.21607,17.346,14.825,19.998,197.799,90,504.906,3985.824,5126.642,5.091,92.612,30.005
NOLSM17078,23-02-2019 ?? 9:04:30,7,8,1,Photo,0.74181,17.449,15.008,20.004,198.256,89.999,500.889,3926.592,4814.62,5.134,92.008,30
NOLSM17179,23-02-2019 ?? 9:04:30,7,9,2,Photo,0.97939,16.576,15.21,20.006,200.579,90.001,500.423,3971.44,4982.476,4.943,91.91,30.003
NOLSM172710,23-02-2019 ?? 9:04:30,7,10,2,Photo,0.77486,16.59,15.146,19.994,204.542,90,504.163,3989.581,5046.834,5.079,93.593,30.005
NOLSM173711,23-02-2019 ?? 9:04:30,7,11,3,Photo,0.51875,14.282,14.977,20.001,200.495,89.999,501.179,4093.76,4975.562,4.969,91.699,29.998
NOLSM174712,23-02-2019 ?? 9:04:30,7,12,3,Photo,1.19101,11.453,15.005,20.004,193.932,90,502.963,3972.978,5021.709,5.051,91.943,30.006
NOLSM175713,23-02-2019 ?? 9:04:30,7,13,3,Photo,0.73164,15.963,14.951,20.004,198.889,89.999,501.202,3990.542,4893.284,4.951,92.601,29.989
NOLSM176714,23-02-2019 ?? 9:04:30,7,14,1,Photo,1.41868,14.517,14.949,20.004,194.997,90.003,498.961,4011.356,5027.332,5.151,92.587,30.004
NOLSM177715,23-02-2019 ?? 9:04:30,7,15,1,Photo,2.34062,15.651,15.104,19.994,198.542,90,496.098,3985.668,4931.349,4.99,91.313,29.993
NOLSM178716,23-02-2019 ?? 9:04:30,7,16,2,Photo,2.11562,16.096,15.046,19.99,205.734,90,502.714,4022.502,4957.112,4.956,93.97,30.005
NOLSM179717,23-02-2019 ?? 9:04:30,7,17,2,Photo,1.98321,18.135,15.078,20.002,201.17,90.002,500.234,4012.915,4970.133,5.06,91.436,30.008
NOLSM180718,23-02-2019 ?? 9:04:30,7,18,3,Photo,1.36377,15.542,14.997,19.997,201.087,90.001,495.148,4033.884,4991.406,5.083,91.737,30.009
NOLSM181719,23-02-2019 ?? 9:04:30,7,19,3,Photo,0.64254,14.514,14.943,19.994,197.947,90,503.102,4074.752,5024.075,5,95.216,29.997
NOLSM182720,23-02-2019 ?? 9:04:30,7,20,3,Photo,1.06283,15.145,15.055,20.006,197.32,90,499.877,3975.994,4944.217,4.928,90.469,30.004
NOLSM183721,23-02-2019 ?? 9:04:30,7,21,1,Photo,1.76504,9.497,15.075,20.002,204.119,90,499.05,4040.881,4900.149,5.01,92.9,29.999
NOLSM184722,23-02-2019 ?? 9:04:30,7,22,1,Photo,1.11564,14.014,14.949,19.995,201.169,89.999,503.535,3957.1,5065.311,5.036,90.335,29.995
NOLSM185723,23-02-2019 ?? 9:04:30,7,23,1,Photo,1.11078,15.099,15.026,20.003,199.123,90.001,497.264,4070.621,4894.696,5.046,91.524,30.01
NOLSM186724,23-02-2019 ?? 9:04:30,7,24,2,Photo,1.42549,18.091,14.983,20.003,204.107,90.001,500.541,4152.677,5084.34,4.881,93.523,30.003
NOLSM187725,23-02-2019 ?? 9:04:30,7,25,2,Photo,1.33132,15.6,14.918,19.999,200.389,90,498.193,4022.818,5047.624,4.987,92.635,29.998
NOLSM188726,23-02-2019 ?? 9:04:30,7,26,2,Photo,1.76392,14.93,14.98,20,200.739,90,503.645,4003.558,5053.991,5.115,91.418,30.002
NOLSM189727,23-02-2019 ?? 9:04:30,7,27,3,Photo,0.86589,19.501,15.08,19.997,201.554,90,502.111,3963.457,5128.554,5.024,92.661,29.996
NOLSM19081,24-02-2019 ?? 9:04:30,8,1,3,Photo,0.58255,13.151,14.893,20.001,199.617,90,497.666,4019.231,5089.878,5.018,96.209,30.006
NOLSM19182,24-02-2019 ?? 9:04:30,8,2,3,Photo,1.37142,15.084,15.104,20,199.515,90,503.304,4083.328,5069.597,4.944,94.821,29.999
NOLSM19283,24-02-2019 ?? 9:04:30,8,3,1,Photo,1.10946,17.282,15.048,19.999,200.179,90,498.791,4037.263,5027.68,5.02,91.704,30.009
NOLSM19384,24-02-2019 ?? 9:04:30,8,4,1,Photo,1.26057,14.697,15.015,19.997,200.906,89.998,497.523,3927.506,5002.992,4.919,91.435,30.001
NOLSM19485,24-02-2019 ?? 9:04:30,8,5,1,Photo,1.1906,16.185,15.003,19.996,197.236,90,498.683,4054.51,5040.111,5.094,94.209,30.006
NOLSM19586,24-02-2019 ?? 9:04:30,8,6,2,Photo,0.94026,18.824,15.07,19.997,200.869,90.001,504.038,3989.324,4958.343,4.887,92.444,30.001
NOLSM19687,24-02-2019 ?? 9:04:30,8,7,2,Photo,1.32336,13.058,15.032,19.992,197.797,89.999,498.602,4036.729,4997.91,5.14,90.421,30
NOLSM19788,24-02-2019 ?? 9:04:30,8,8,2,Photo,0.89928,17.22,15.011,19.997,198.221,89.999,504.972,3911.508,5054.012,5.097,90.527,29.989
NOLSM19889,24-02-2019 ?? 9:04:30,8,9,3,Photo,1.28944,13.059,15.086,20,201.702,90,500.072,4000.58,5067.165,5.022,91.686,30.004
NOLSM199810,24-02-2019 ?? 9:04:30,8,10,3,Photo,0.97567,18.062,14.968,19.999,201.582,90.001,496.137,4024.921,5121.452,5.109,93.826,30.003
NOLSM200811,24-02-2019 ?? 9:04:30,8,11,3,Photo,1.13227,16.618,15.03,19.986,203.769,90,499.615,4048.829,5065.6,4.984,91.11,30.005
NOLSM201812,24-02-2019 ?? 9:04:30,8,12,1,Photo,2.22462,15.734,15.122,20,200.542,90,497.613,4139.641,4967.097,5.125,91.834,30.003
NOLSM202813,24-02-2019 ?? 9:04:30,8,13,1,Photo,1.52528,15.094,14.951,19.995,201.047,90,502.695,3999.588,5030.543,5.09,90.235,29.991
NOLSM203814,24-02-2019 ?? 9:04:30,8,14,1,Photo,1.87755,16.122,15.047,20,198.718,89.999,503.025,4048.65,4937.847,4.948,92.042,29.997
NOLSM204815,24-02-2019 ?? 9:04:30,8,15,2,Photo,1.42394,17.557,15.014,19.997,200.84,90,501.612,4054.936,5050.988,5.023,94.128,29.997
NOLSM205816,24-02-2019 ?? 9:04:30,8,16,2,Photo,1.00714,14.323,14.982,19.993,203.182,90,500.242,4058.549,4985.531,5.023,93.312,29.989
NOLSM206817,24-02-2019 ?? 9:04:30,8,17,3,Photo,1.55834,12.451,15.02,19.995,196.676,90.002,501.408,4063.154,5063.012,5.079,92.48,29.988
NOLSM207818,24-02-2019 ?? 9:04:30,8,18,3,Photo,0.667,18.899,15.013,20.001,200.943,89.999,504.074,4076.151,5036.475,5.034,90.139,29.998
NOLSM208819,24-02-2019 ?? 9:04:30,8,19,3,Photo,1.11399,17.055,14.949,20.002,202.936,89.999,503.762,4000.936,5011.931,4.965,92.195,29.999
NOLSM209820,24-02-2019 ?? 9:04:30,8,20,1,Photo,0.99037,15.157,15.173,19.989,200.202,90,500.182,4086.61,4911.694,4.94,94.776,30
NOLSM210821,24-02-2019 ?? 9:04:30,8,21,1,Photo,0.75932,15.65,15.01,19.996,205.561,90,501.265,3966.962,5142.855,4.986,91.951,30.004
NOLSM211822,24-02-2019 ?? 9:04:30,8,22,2,Photo,1.62331,16.394,15.129,20,201.546,90.001,497.688,4072.796,5006.05,5.077,91.217,30.003
NOLSM212823,24-02-2019 ?? 9:04:30,8,23,2,Photo,0.92726,18.83,14.935,20.002,201.198,89.999,500.901,4014.905,5015.181,4.967,92.389,30.005
NOLSM213824,24-02-2019 ?? 9:04:30,8,24,2,Photo,1.83202,17.926,14.956,20.002,203.181,90,499.72,4069.262,5030.982,5.03,90.846,29.99
NOLSM214825,24-02-2019 ?? 9:04:30,8,25,3,Photo,1.43581,19.64,14.973,20.004,203.188,90.001,499.941,4014.548,4941.211,5.04,91.643,30.01
NOLSM215826,24-02-2019 ?? 9:04:30,8,26,3,Photo,1.27241,17.858,14.986,20,204.049,90.001,499.422,4131.916,5014.635,5.056,90.442,29.99
NOLSM216827,24-02-2019 ?? 9:04:30,8,27,3,Photo,1.29777,17.033,14.916,19.998,204.216,90,501.999,4103.041,5008.04,5.077,91.37,29.994
NOLSM21791,25-02-2019 ?? 9:04:30,9,1,1,Photo,1.68323,13.492,15.004,19.993,201.416,90,502.918,4095.041,5139.177,4.902,91.486,30.004
NOLSM21892,25-02-2019 ?? 9:04:30,9,2,1,Photo,1.01812,12.434,15.203,19.995,200.664,90,499.31,3993.069,5069.222,4.968,91.885,30.009
NOLSM21993,25-02-2019 ?? 9:04:30,9,3,1,Photo,0.80051,12.544,15.003,19.999,202.708,90.001,500.372,4096.542,4983.974,4.999,93.549,30.006
NOLSM22094,25-02-2019 ?? 9:04:30,9,4,2,Photo,1.0265,14.07,14.977,19.998,200.457,90,505.328,4055.684,5034.141,4.99,88.929,29.992
NOLSM22195,25-02-2019 ?? 9:04:30,9,5,2,Photo,0.71383,17.714,14.889,19.997,202.81,90,496.836,3977.901,5011.968,5.11,92.838,30.006
NOLSM22296,25-02-2019 ?? 9:04:30,9,6,2,Photo,1.22899,14.201,15.078,20.002,200.65,90.001,498.495,4017.199,5030.422,5.095,93.573,30.001
NOLSM22397,25-02-2019 ?? 9:04:30,9,7,3,Photo,0.81828,13.544,15.019,20.005,203.278,90.001,499.703,3950.633,5045.996,5.039,90.67,30.005
NOLSM22498,25-02-2019 ?? 9:04:30,9,8,3,Photo,1.11664,16.904,15.066,19.998,200.465,90,498.492,4053.322,5009.163,5.095,93.751,30.009
NOLSM22599,25-02-2019 ?? 9:04:30,9,9,1,Photo,1.29713,16.682,14.92,20.001,204.001,90,497.334,4141.211,4984.823,5.03,91.706,30.007
NOLSM226910,25-02-2019 ?? 9:04:30,9,10,1,Photo,1.76849,12.463,14.846,19.988,201.946,90.001,502.293,4055.498,5126.15,4.964,93.548,30.011
NOLSM227911,25-02-2019 ?? 9:04:30,9,11,1,Photo,1.7082,12.219,15.031,19.998,205.348,90.001,505.479,3864.82,5051.568,5.148,93.516,30.009
NOLSM228912,25-02-2019 ?? 9:04:30,9,12,2,Photo,1.36829,12.814,14.953,20.002,196.913,90.001,492.336,3961.623,4935.928,4.895,91.914,29.995
NOLSM229913,25-02-2019 ?? 9:04:30,9,13,2,Photo,1.17565,14.416,15.065,19.994,203.684,89.999,493.512,4044.485,5047.638,4.987,92.708,29.995
NOLSM230914,25-02-2019 ?? 9:04:30,9,14,2,Photo,1.54357,16.121,14.953,20.006,201.67,89.998,507.932,4037.619,4962.839,5.121,90.218,29.992
NOLSM231915,25-02-2019 ?? 9:04:30,9,15,3,Photo,0.68727,14.665,15.02,20.004,200.067,90.001,500.534,4031.247,4978.986,5.046,91.262,29.993
NOLSM232916,25-02-2019 ?? 9:04:30,9,16,3,Photo,1.197,15.879,14.96,20.001,195.151,89.999,498.96,4078.11,4973.393,4.921,93.362,30
NOLSM233917,25-02-2019 ?? 9:04:30,9,17,3,Photo,1.35868,13.499,15.066,20.001,200.691,90,504.593,3939.35,4936.805,5.106,88.578,29.998
NOLSM234918,25-02-2019 ?? 9:04:30,9,18,1,Photo,1.41505,17.6,14.99,19.999,200.559,90,504.027,4021.099,5077.005,4.972,93.076,30.001
NOLSM235919,25-02-2019 ?? 9:04:30,9,19,1,Photo,0.99749,16.391,14.971,20.003,198.578,90,505.381,3998.943,4983.723,4.925,93.485,29.998
NOLSM236920,25-02-2019 ?? 9:04:30,9,20,1,Photo,1.1266,15.648,14.845,19.999,200.064,89.999,505.791,3942.151,5071.576,5.039,91.969,30.001
NOLSM237921,25-02-2019 ?? 9:04:30,9,21,2,Photo,1.07395,15.332,15.085,19.998,198.171,90.001,502.451,4078.181,4880.822,4.978,93.953,29.996
NOLSM238922,25-02-2019 ?? 9:04:30,9,22,2,Photo,2.05777,12.277,14.911,20.004,199.6,90,502.716,4147.422,4925.622,4.879,91.194,30.006
NOLSM239923,25-02-2019 ?? 9:04:30,9,23,2,Photo,0.98062,13.182,15.061,19.994,203.109,90,499.113,4015.297,4917.795,5.037,96.653,30.005
NOLSM240924,25-02-2019 ?? 9:04:30,9,24,3,Photo,0.43841,14.011,15.118,20,201.376,90.001,504.178,4115.588,5108.175,4.911,92.781,30.009
NOLSM241925,25-02-2019 ?? 9:04:30,9,25,3,Photo,1.43266,10.856,15.053,19.995,201.817,90,504.191,4060.555,4957.121,4.889,90.464,30
NOLSM242926,25-02-2019 ?? 9:04:30,9,26,1,Photo,0.98357,10.856,15.148,20.005,198.47,90,504.225,4115.623,4991.551,4.984,92.415,29.995
NOLSM243927,25-02-2019 ?? 9:04:30,9,27,1,Photo,1.07754,17.756,14.982,20.002,200.542,90,504.244,4008.816,5075.696,4.919,90.401,30.001
NOLSM244101,26-02-2019 ?? 9:04:30,10,1,1,Photo,0.89536,13.702,14.88,20.002,191.209,90.001,499.364,3991.128,4966.64,4.946,92.469,30.002
NOLSM245102,26-02-2019 ?? 9:04:30,10,2,2,Photo,1.63933,14.218,14.932,19.994,202.848,90,500.565,4042.868,5036.683,5.05,91.01,30.011
NOLSM246103,26-02-2019 ?? 9:04:30,10,3,2,Photo,2.10005,17.251,15.121,20.004,193.899,90.001,494.487,3955.637,5039.17,5.042,95.722,29.997
NOLSM247104,26-02-2019 ?? 9:04:30,10,4,2,Photo,1.9415,12.457,14.946,19.995,197.934,90,501.583,4045.925,5063.454,5.088,90.859,30.003
NOLSM248105,26-02-2019 ?? 9:04:30,10,5,3,Photo,1.1602,14.789,15.016,20.001,199.825,90.002,498.918,4013.918,5118.476,4.967,90.944,29.999
NOLSM249106,26-02-2019 ?? 9:04:30,10,6,3,Photo,1.14459,16.267,15.11,20.004,200.232,89.999,505,4005.045,5010.085,5.073,94.505,30.002
NOLSM250107,26-02-2019 ?? 9:04:30,10,7,1,Photo,0.05436,17.256,15.084,19.996,204.512,89.999,499.692,4023.761,5047.709,5.019,90.405,29.998
NOLSM251108,26-02-2019 ?? 9:04:30,10,8,1,Photo,1.64046,12.766,15.042,19.996,202.962,90,500.511,4013.95,4928.841,5.047,89.94,30.011
NOLSM252109,26-02-2019 ?? 9:04:30,10,9,1,Photo,1.48839,13.426,15.058,20.001,202.403,90,503.073,4024.375,4984.217,5.009,93.575,30.004
NOLSM2531010,26-02-2019 ?? 9:04:30,10,10,2,Photo,1.60462,15.38,15.03,19.995,196.114,90,499.836,4041.761,4934.073,5.047,90.305,30.003
NOLSM2541011,26-02-2019 ?? 9:04:30,10,11,2,Photo,1.13688,18.272,14.919,19.999,201.382,90.002,499.992,4057.726,5002.959,4.919,89.168,30.001
NOLSM2551012,26-02-2019 ?? 9:04:30,10,12,3,Photo,1.60423,15.023,15.139,20.008,201.343,90.001,502.52,3953.257,5104.109,5.018,91.432,30.01
NOLSM2561013,26-02-2019 ?? 9:04:30,10,13,3,Photo,0.6528,12.264,15.149,19.996,203.657,89.998,502.86,4081.959,4965.526,5.041,92.061,30.007
NOLSM2571014,26-02-2019 ?? 9:04:30,10,14,1,Photo,1.09299,13.966,14.958,20.001,200.097,89.999,502.2,3982.094,5009.082,4.897,88.83,30.001
NOLSM2581015,26-02-2019 ?? 9:04:30,10,15,1,Photo,1.53141,18.364,14.867,20.004,197.094,89.999,496.799,4041.06,5018.089,5.043,90.277,30.006
NOLSM2591016,26-02-2019 ?? 9:04:30,10,16,1,Photo,1.84968,11.582,15.126,20.01,201.454,90.001,504.386,4014.734,5118.391,4.963,92.552,30.005
NOLSM2601017,26-02-2019 ?? 9:04:30,10,17,2,Photo,2.00492,15.686,15.113,19.997,198.484,90,503.906,3964.099,5037.531,5.017,91.43,29.991
NOLSM2611018,26-02-2019 ?? 9:04:30,10,18,2,Photo,1.16379,14.32,15.004,20,197.509,89.999,500.167,4021.617,5038.626,5.005,92.695,30.001
NOLSM2621019,26-02-2019 ?? 9:04:30,10,19,2,Photo,1.17615,18.581,14.952,19.996,202.54,90,504.958,3929.128,5100.269,4.957,92.866,30
NOLSM2631020,26-02-2019 ?? 9:04:30,10,20,3,Photo,0.89128,16.593,15.029,19.998,199.11,89.999,502.777,4106.986,5088.081,5.067,93.407,29.995
NOLSM2641021,26-02-2019 ?? 9:04:30,10,21,3,Photo,1.36637,12.881,15.129,20.003,198.235,90,493.96,3955.943,5023.248,4.995,90.651,29.993
NOLSM2651022,26-02-2019 ?? 9:04:30,10,22,3,Photo,0.9916,15.648,15.112,20.001,200.916,90.001,502.56,3977.12,4963.659,5.029,92.391,30.002
NOLSM2661023,26-02-2019 ?? 9:04:30,10,23,1,Photo,1.6894,16.669,14.924,20.007,199.03,89.998,500.811,4006.268,5123.526,4.951,92.227,30.001
NOLSM2671024,26-02-2019 ?? 9:04:30,10,24,1,Photo,1.19643,14.492,14.995,19.997,203.225,89.999,500.978,4097.436,5044.95,5.101,92.183,30.005
NOLSM2681025,26-02-2019 ?? 9:04:30,10,25,1,Photo,1.48022,15.441,15.003,19.999,202.543,90,498.831,3872.886,5090.82,5.115,91.319,30.016
NOLSM2691026,26-02-2019 ?? 9:04:30,10,26,2,Photo,1.4155,15.911,15.032,19.996,205.542,90,500.992,4022.267,4986.191,4.99,93.109,30.006
NOLSM2701027,26-02-2019 ?? 9:04:30,10,27,2,Photo,0.60782,20.594,15.103,20.004,201.218,89.999,502.279,3988.21,5013.807,4.985,90.954,29.992
NOLSM271111,27-02-2019 ?? 9:04:30,11,1,2,Photo,1.5188,12.408,15.088,19.998,200.153,90,498.178,4041.975,5032.318,5.114,90.465,30.004
NOLSM272112,27-02-2019 ?? 9:04:30,11,2,3,Photo,0.72998,17.845,15.073,19.989,202.1,89.999,497.775,4074.623,5183.517,5.036,92.678,30.006
NOLSM273113,27-02-2019 ?? 9:04:30,11,3,3,Photo,1.13925,14.986,14.995,19.994,204.685,89.999,502.705,4027.564,4963.186,4.982,88.792,30.003
NOLSM274114,27-02-2019 ?? 9:04:30,11,4,3,Photo,0.81578,16.722,14.997,20,197.183,90,500.408,4088.62,4992.802,4.875,91.604,29.998
NOLSM275115,27-02-2019 ?? 9:04:30,11,5,1,Photo,1.14172,13.694,15.109,20,199.096,90,498.791,4079.674,4899.699,5.099,89.418,30.011
NOLSM276116,27-02-2019 ?? 9:04:30,11,6,1,Photo,0.92509,16.062,15.022,19.999,200.31,90,499.756,4106.797,5056.373,5.021,89.811,29.986
NOLSM277117,27-02-2019 ?? 9:04:30,11,7,1,Photo,1.07024,12.256,15.005,20.003,199.983,90,502.813,3991.987,5079.03,5.075,91.266,30.007
NOLSM278118,27-02-2019 ?? 9:04:30,11,8,2,Photo,1.6429,17.049,15.147,20.005,200.227,89.999,497.422,3950.778,4967.667,4.921,91.33,30.009
NOLSM279119,27-02-2019 ?? 9:04:30,11,9,2,Photo,1.45486,16.549,14.798,19.997,201.232,90.001,505.145,4012.953,5086.767,4.917,94.399,30
NOLSM2801110,27-02-2019 ?? 9:04:30,11,10,2,Photo,1.4716,17.704,15.079,19.996,201.06,90.002,501.232,3976.67,4918.119,4.93,90.936,30.007
NOLSM2811111,27-02-2019 ?? 9:04:30,11,11,3,Photo,1.06947,11.881,14.924,19.999,203.508,90.002,497.074,4097.601,5003.264,5.107,93.695,30.012
NOLSM2821112,27-02-2019 ?? 9:04:30,11,12,3,Photo,1.28795,10.619,14.933,19.999,199.954,90,498.858,4040.655,5047.563,5.02,91.703,30.01
NOLSM2831113,27-02-2019 ?? 9:04:30,11,13,3,Photo,0.95187,16.57,15.167,20.006,205.998,90.001,499.993,4021.291,4967.338,5.005,89.084,29.997
NOLSM2841114,27-02-2019 ?? 9:04:30,11,14,1,Photo,1.16256,18.078,14.959,19.998,197.696,90.001,507.163,4067.78,4967.281,4.965,91.593,30.013
NOLSM2851115,27-02-2019 ?? 9:04:30,11,15,1,Photo,1.80132,15.594,14.935,19.997,202.641,90,504.134,3900.167,5108.764,5.049,91.654,30.004
NOLSM2861116,27-02-2019 ?? 9:04:30,11,16,1,Photo,0.99644,15.34,14.892,19.996,199.201,90.001,503.713,3966.885,4922.103,4.968,93.468,30.003
NOLSM2871117,27-02-2019 ?? 9:04:30,11,17,2,Photo,0.90276,16.301,15.139,20,196.285,89.999,499.873,3899.628,5058.994,4.951,91.748,30.002
NOLSM2881118,27-02-2019 ?? 9:04:30,11,18,2,Photo,1.52924,16.321,15.165,20.005,197.046,90,499.864,4010.001,5169.378,5.067,91.094,30.023
NOLSM2891119,27-02-2019 ?? 9:04:30,11,19,2,Photo,1.16231,14.337,15.006,19.994,195.762,90,496.952,4022.726,4859.193,5.026,90.685,30.002
NOLSM2901120,27-02-2019 ?? 9:04:30,11,20,3,Photo,1.86724,13.343,15.01,19.999,199.004,89.998,499.315,4063.095,4941.979,4.867,90.409,30.004
NOLSM2911121,27-02-2019 ?? 9:04:30,11,21,3,Photo,0.80545,17.487,15.036,20.001,199.324,89.999,498.98,3981.512,4933.463,5.021,94.25,29.999
NOLSM2921122,27-02-2019 ?? 9:04:30,11,22,3,Photo,1.6105,15.439,15.081,19.996,198.167,90,499.116,4062.758,5012.721,4.999,88.499,30.005
NOLSM2931123,27-02-2019 ?? 9:04:30,11,23,1,Photo,1.7171,15.466,15.03,20,199.842,90,501.424,3999.27,5045.341,5.003,90.912,29.989
NOLSM2941124,27-02-2019 ?? 9:04:30,11,24,1,Photo,1.29468,15.967,15.055,19.995,199.669,90,499.086,4127.682,4946.571,5.023,93.62,29.995
NOLSM2951125,27-02-2019 ?? 9:04:30,11,25,2,Photo,1.3248,14.441,14.915,20.002,199.527,90,499.962,4005.749,4910.479,5.06,91.604,30.005
NOLSM2961126,27-02-2019 ?? 9:04:30,11,26,2,Photo,1.67582,15.835,15.188,19.995,196.291,90,500.692,4021.838,5007.945,4.982,92.45,29.993
NOLSM2971127,27-02-2019 ?? 9:04:30,11,27,2,Photo,1.65683,19.713,15.051,19.999,203.764,90,500.943,3976.455,4948.126,5.147,91.607,30.002
NOLSM298121,28-02-2019 ?? 9:04:30,12,1,3,Photo,1.40745,16.373,15.087,20.003,202.544,90,498.267,4027.291,4967.037,4.765,89.107,30.002
NOLSM299122,28-02-2019 ?? 9:04:30,12,2,3,Photo,1.07024,15.346,15.073,19.997,192.937,90,502.379,4012.326,4994.356,5.006,88.854,30
NOLSM300123,28-02-2019 ?? 9:04:30,12,3,1,Photo,1.2704,15.638,15.147,19.999,197.925,89.999,497.656,4027.157,5075.449,4.962,91.537,30.004
NOLSM301124,28-02-2019 ?? 9:04:30,12,4,1,Photo,1.85503,17.589,14.942,20.001,200.814,90,502.717,4014.51,4981.541,4.973,91.475,30.009
NOLSM302125,28-02-2019 ?? 9:04:30,12,5,1,Photo,0.45532,12.526,14.811,19.997,202.072,90.001,504.096,3999.03,5007.347,5.107,92.033,30
NOLSM303126,28-02-2019 ?? 9:04:30,12,6,2,Photo,1.26042,13.45,14.945,20.003,200.137,90.001,498.489,4057.631,4936.117,5.018,91.822,29.998
NOLSM304127,28-02-2019 ?? 9:04:30,12,7,2,Photo,1.60637,13.508,14.968,20.004,198.682,90,498.95,4030.919,4973.993,4.993,90.736,29.999
NOLSM305128,28-02-2019 ?? 9:04:30,12,8,2,Photo,1.68459,14.64,14.971,20.001,202.507,90,498.822,4005.173,5062.83,5.044,86.498,29.997
NOLSM306129,28-02-2019 ?? 9:04:30,12,9,3,Photo,1.54127,16.878,15.062,20.001,199.76,89.999,499.713,4004.092,5014.513,4.993,93.927,30
NOLSM3071210,28-02-2019 ?? 9:04:30,12,10,3,Photo,1.19937,16.581,14.963,20,199.579,90,500.063,4076.691,5094.2,4.974,93.536,30.012
NOLSM3081211,28-02-2019 ?? 9:04:30,12,11,3,Photo,1.05598,15.648,15.046,20.006,205.812,89.999,497.779,4043.263,5014.243,5.039,92.481,30.002
NOLSM3091212,28-02-2019 ?? 9:04:30,12,12,1,Photo,1.54426,16.546,14.919,19.997,198.081,90,494.982,4019.485,4927.291,4.946,91.277,30.003
NOLSM3101213,28-02-2019 ?? 9:04:30,12,13,1,Photo,1.50152,14.401,15.067,20.001,202.684,89.999,505.28,4056.159,5042.679,4.99,93.218,29.993
NOLSM3111214,28-02-2019 ?? 9:04:30,12,14,2,Photo,0.50232,15.825,14.968,19.998,199.786,90.001,501.419,4064.284,5096.91,4.985,92.872,30.005
NOLSM3121215,28-02-2019 ?? 9:04:30,12,15,2,Photo,1.39792,19.632,15.099,19.99,202.13,89.999,498.721,4065.712,4966.568,5.045,91.701,30
NOLSM3131216,28-02-2019 ?? 9:04:30,12,16,2,Photo,1.43737,14.393,15.097,19.999,200.496,90,499.72,4040.384,5024.178,5.071,91.019,30.012
NOLSM3141217,28-02-2019 ?? 9:04:30,12,17,3,Photo,1.36638,17.755,15.098,19.997,200.547,90,504.371,3966.094,5025.719,4.892,94.443,30.012
NOLSM3151218,28-02-2019 ?? 9:04:30,12,18,3,Photo,1.12542,15.187,14.939,20,201.47,90.001,502.242,3914.265,5094.418,5.082,92.586,29.988
NOLSM3161219,28-02-2019 ?? 9:04:30,12,19,3,Photo,1.62808,14.18,14.937,19.996,206.177,90.001,499.125,4049.299,5068.397,5.189,88.064,29.997
NOLSM3171220,28-02-2019 ?? 9:04:30,12,20,1,Photo,1.72067,14.585,15.11,20.002,199.367,89.999,497.153,4017.434,5047.977,5.082,92.242,30.006
NOLSM3181221,28-02-2019 ?? 9:04:30,12,21,1,Photo,0.95424,13.185,15.16,19.997,201.816,89.999,500.809,3982.699,4968.25,5.157,91.764,30.005
NOLSM3191222,28-02-2019 ?? 9:04:30,12,22,1,Photo,1.70235,16.626,15.028,20,200.226,90.001,503.566,4083.864,5093.549,4.879,91.558,30.015
NOLSM3201223,28-02-2019 ?? 9:04:30,12,23,2,Photo,0.72049,12.256,14.913,20.003,197.906,90.001,503.174,3988.161,4981.247,5.022,92.177,30.017
NOLSM3211224,28-02-2019 ?? 9:04:30,12,24,2,Photo,1.64997,19.021,15.075,19.998,201.543,90.001,504.22,4050.115,4956.952,5.047,91.584,30.001
NOLSM3221225,28-02-2019 ?? 9:04:30,12,25,2,Photo,1.77957,14.032,14.855,19.997,203.059,90.002,505.045,3924.571,5098.381,4.987,92.019,30
NOLSM3231226,28-02-2019 ?? 9:04:30,12,26,3,Photo,0.86307,17.11,15.108,20.003,205.483,90,499.052,3975.723,4982.231,4.908,95.838,30.004
NOLSM3241227,28-02-2019 ?? 9:04:30,12,27,3,Photo,1.44112,16.962,14.907,19.999,199.391,89.999,500.584,3998.882,5088.144,4.899,95.28,30.003
NOLSM325131,01-03-2019 ?? 9:04:30,13,1,3,Photo,1.46994,14.06,15.006,20.001,200.551,90.001,503.63,4010.591,4903.611,5.02,91.918,30.005
