No_Die,Datetime,Lot_Num,Wafer_Num,Ox_Chamber,process,type,Temp_OXid,Vapor,ppm,Pressure,Oxid_time,thickness,photo_soft_Chamber,process 2,resist_target,N2_HMDS,pressure_HMDS,temp_HMDS,temp_HMDS_bake,time_HMDS_bake,spin1,spin2,spin3,photoresist_bake,temp_softbake,time_softbake,lithography_Chamber,Line_CD,Lamp,UV_type,Wavelength,Resolution,Energy_Exposure,Etching_Chamber,Process 3,Thin F4,Thin F3,Thin F2,Thin F1,Temp_Etching,Source_Power,Selectivity,Chamber_Num,process4,Flux60s,Flux90s,Flux160s,Flux480s,Flux840s,input_Energy,Current,Temp_implantation,Furance_Temp,RTA_Temp,Target,Datetime,Error_message,Yield
NOLSM132524,21-02-2019 ?? 9:04:30,5,24,1,Oxidation,dry,1164.7869,H2O,30.81,0.216,131,689.252,3,Photo,0.7548,15.808,14.88,19.997,198.772,90.001,503.122,3993.101,5074.118,5.033,90.716,30.003,3,46.035,Hg-Arc,G,365,492.66,109.224,3,Etching,537,1461,3641,5692,71.092,50.679,1.03,3,Implantation,1.52E+16,9.85E+16,7.52E+17,2.99E+17,6.00E+17,31856.143,0.01,102.064,914,153,127,02-22-2018,none,93.65
NOLSM133525,21-02-2019 ?? 9:04:30,5,25,2,Oxidation,wet,1022.473333,H2O,33.82,0.187,67,709.639,1,Photo,1.66756,14.678,14.881,19.998,205.609,90,499.85,4022.215,4918.574,5.01,91.008,30.014,1,41.096,Hg-Arc,H,436,523.452,106.604,3,Etching,248,1597,3636,5714,71.186,51.128,1.032,3,Implantation,7.86E+15,6.50E+16,5.64E+17,3.01E+17,6.00E+17,31565.934,0.01,104.243,904,158,59,02-22-2018,none,97.05
NOLSM134526,21-02-2019 ?? 9:04:30,5,26,2,Oxidation,dry,1095.522188,H2O,34.04,0.215,35,714.163,1,Photo,1.43301,16.811,14.97,19.993,200.925,90,500.47,3979.993,5070.442,4.975,91.317,29.998,2,33.021,Hg-Arc,I,436,514.377,108.223,2,Etching,501,1521,3624,5712,71.554,50.902,1.022,2,Implantation,1.07E+16,9.39E+16,2.81E+17,3.00E+17,6.00E+17,32131.098,0.01,105.338,879,155,111,02-22-2018,none,94.45
NOLSM135527,21-02-2019 ?? 9:04:30,5,27,2,Oxidation,dry,1080.3372,O2,32.41,0.208,41,695.852,1,Photo,1.05957,14.953,14.917,20.009,202.427,89.999,504.675,3991.521,4936.656,5.058,92.819,29.984,3,30.746,Hg-Arc,G,365,522.227,106.178,1,Etching,302,1553,3661,5705,69.23,51.433,0.984,1,Implantation,1.21E+16,9.47E+16,4.77E+17,3.00E+17,6.00E+17,32248.673,0.01,100.598,921,156,71,02-22-2018,none,96.45
NOLSM13661,22-02-2019 ?? 9:04:30,6,1,2,Oxidation,dry,1088.960919,O2,26.11,0.203,27,713.051,2,Photo,1.00107,14.669,15.039,20.001,202.053,90,505.264,4029.626,4993.451,4.996,93.5,29.99,1,51.045,Hg-Arc,I,365,536.793,107.575,1,Etching,372,1450,3643,5717,72.26,51.496,1.047,1,Implantation,8.06E+15,1.28E+17,1.71E+17,3.02E+17,6.00E+17,31194.915,0.01,101.786,885,152,105,02-23-2018,none,94.75
NOLSM13762,22-02-2019 ?? 9:04:30,6,2,2,Oxidation,wet,1054.787096,H2O,45.83,0.21,261,697.237,2,Photo,1.66489,15.622,15.109,19.996,200.051,90.001,499.285,4052.404,5020.19,5.076,89.904,30.001,2,59.607,Hg-Arc,H,365,495.138,107.421,2,Etching,366,1534,3654,5699,71.193,50.583,1.04,2,Implantation,1.65E+16,7.79E+16,1.03E+18,3.01E+17,6.00E+17,31469.225,0.01,105.08,913,154,103,02-23-2018,none,94.85
NOLSM13863,22-02-2019 ?? 9:04:30,6,3,2,Oxidation,dry,1102.238613,O2,28.76,0.206,19,702.597,2,Photo,1.53778,15.101,15.018,20.002,197.983,90.001,500.665,3990.607,5003.956,5.112,91.107,29.994,3,37.382,Hg-Arc,I,436,492.349,106.902,3,Etching,302,1603,3630,5714,71.658,51.022,1.01,3,Implantation,1.00E+16,1.48E+17,7.89E+17,2.98E+17,6.00E+17,32246.843,0.01,104.774,907,154,102,02-23-2018,none,94.9
NOLSM13964,22-02-2019 ?? 9:04:30,6,4,2,Oxidation,dry,934.5467437,H2O,36.93,0.199,112,715.587,3,Photo,0.83265,18.162,14.932,19.994,199.705,90,499.886,3985.833,4964.32,5.034,91.392,30.002,1,35.856,Hg-Arc,I,365,549.509,108.781,3,Etching,570,1423,3685,5703,71.529,52.353,1.033,3,Implantation,1.15E+16,8.37E+16,5.17E+17,2.98E+17,6.00E+17,31801.588,0.01,103.624,866,153,199,02-23-2018,[['Edge-Loc']],90.05
NOLSM14065,22-02-2019 ?? 9:04:30,6,5,2,Oxidation,dry,1191.036987,O2,35.99,0.188,74,712.987,3,Photo,1.8678,15.117,14.91,19.995,194.623,89.999,497.909,3905.086,4980.191,5.072,92.644,29.999,2,40.635,Hg-Arc,G,436,507.58,104.691,2,Etching,359,1522,3660,5715,70.417,51.564,1.032,2,Implantation,7.36E+15,9.35E+16,6.66E+17,3.02E+17,6.00E+17,32290.539,0.01,104.739,907,161,99,02-23-2018,none,95.05
NOLSM14166,22-02-2019 ?? 9:04:30,6,6,2,Oxidation,wet,1104.162961,H2O,30.27,0.218,97,705.412,3,Photo,1.90408,11.603,15.085,19.997,201.795,90.001,497.376,4027.773,5083.95,5.065,92.04,29.997,3,48.011,Hg-Arc,G,365,517.508,107.628,1,Etching,434,1477,3663,5718,71.32,50.952,1.037,1,Implantation,5.58E+15,8.80E+16,3.94E+17,2.99E+17,6.00E+17,32537.016,0.01,102.829,899,156,131,02-23-2018,none,93.45
NOLSM14267,22-02-2019 ?? 9:04:30,6,7,3,Oxidation,dry,1092.749425,O2,32.55,0.205,148,699.564,1,Photo,1.0001,15.045,14.96,19.998,200.519,90,500.17,4061.253,4899.577,5.026,91.453,29.997,1,57.117,Hg-Arc,G,405,521.413,108.063,1,Etching,450,1448,3659,5735,72.141,50.637,1.021,1,Implantation,1.17E+16,1.05E+17,2.54E+17,2.99E+17,6.00E+17,30799.8,0.01,103.001,882,152,147,02-23-2018,none,92.65
NOLSM14368,22-02-2019 ?? 9:04:30,6,8,3,Oxidation,dry,1094.904165,H2O,34.45,0.19,148,707.661,1,Photo,1.25767,17.886,14.974,19.995,201.975,89.999,499.999,3942.812,4932.54,5.035,89.861,29.994,2,39.188,Hg-Arc,I,405,522.262,107.057,2,Etching,363,1519,3643,5689,70.271,52.233,1.021,2,Implantation,1.14E+16,1.22E+17,4.95E+17,2.99E+17,6.00E+17,30537.234,0.01,104.583,880,159,94,02-23-2018,none,95.3
NOLSM14469,22-02-2019 ?? 9:04:30,6,9,3,Oxidation,dry,1105.754021,O2,42.17,0.21,98,723.872,1,Photo,1.61262,15.707,15.108,19.99,202.236,90,502.462,4031.279,4989.038,4.927,92.614,29.982,3,45.88,Hg-Arc,G,436,483.277,108.275,3,Etching,147,1470,3659,5714,70.401,51.138,1.011,3,Implantation,7.62E+15,1.17E+17,9.12E+17,2.98E+17,6.00E+17,33254.92,0.01,104.377,909,156,70,02-23-2018,none,96.5
NOLSM145610,22-02-2019 ?? 9:04:30,6,10,3,Oxidation,wet,999.8458027,O2,24.49,0.203,97,716.982,2,Photo,0.9269,17.451,14.974,19.997,199.461,89.999,496.968,3961.823,5075.76,5.031,91.965,30.009,1,51.169,Hg-Arc,H,436,530.076,110.154,3,Etching,353,1489,3666,5723,70.567,51.015,1.013,3,Implantation,1.51E+16,8.70E+16,8.44E+17,3.02E+17,6.00E+17,32529.301,0.01,103.397,920,150,103,02-23-2018,none,94.85
NOLSM146611,22-02-2019 ?? 9:04:30,6,11,3,Oxidation,dry,1124.101951,H2O,26.21,0.217,46,701.435,2,Photo,1.36145,14.664,15.029,20,203.443,90.001,496.803,3912.049,5047.235,5.033,91.325,30.004,2,46.793,Hg-Arc,G,436,528.894,104.87,2,Etching,289,1537,3669,5707,72.355,50.9,1.031,2,Implantation,1.08E+16,1.26E+17,3.85E+17,3.01E+17,6.00E+17,31724.033,0.01,103.021,913,159,116,02-23-2018,none,94.2
NOLSM147612,22-02-2019 ?? 9:04:30,6,12,3,Oxidation,dry,934.3567075,O2,34.19,0.194,186,719.909,2,Photo,0.67036,14.286,14.956,19.999,197.721,90.001,504.888,3944.087,4956.801,4.987,91.335,29.997,3,50.69,Hg-Arc,H,436,454.442,107.687,1,Etching,204,1636,3673,5669,71.359,51.322,1.042,1,Implantation,1.18E+16,6.74E+16,7.60E+17,3.00E+17,6.00E+17,32188.034,0.01,102.492,892,148,104,02-23-2018,none,94.8
NOLSM148613,22-02-2019 ?? 9:04:30,6,13,3,Oxidation,dry,1034.529801,O2,37.64,0.221,153,704.422,3,Photo,1.88646,14.89,15.106,20,202.812,90.002,497.049,4002.498,4939.562,5.04,93.239,29.996,1,6.197,Hg-Arc,H,405,490.508,109.468,1,Etching,415,1635,3650,5698,70.016,50.579,1.041,1,Implantation,1.53E+16,1.38E+17,5.63E+17,3.00E+17,6.00E+17,32481.944,0.01,103.514,879,154,76,02-23-2018,none,96.2
NOLSM149614,22-02-2019 ?? 9:04:30,6,14,3,Oxidation,wet,1099.584874,H2O,26.89,0.2,82,689.862,3,Photo,0.88798,16.342,15.128,19.996,198.429,89.998,500.323,3956.773,4926.143,5.005,92.335,30.008,2,53.823,Hg-Arc,G,365,528.768,110.415,2,Etching,343,1495,3635,5718,69.634,51.285,1.013,2,Implantation,1.14E+16,1.45E+17,4.62E+17,3.01E+17,6.00E+17,32373.18,0.01,100.696,921,152,82,02-23-2018,none,95.9
NOLSM150615,22-02-2019 ?? 9:04:30,6,15,3,Oxidation,dry,1071.853664,H2O,43.08,0.213,121,704.781,3,Photo,1.05713,14.749,15.006,19.995,197.594,90,502.379,4056.607,4941.828,5.014,92.137,29.999,3,45.692,Hg-Arc,I,436,509.816,108.946,3,Etching,313,1402,3671,5692,71.823,50.58,1.034,3,Implantation,1.27E+16,1.48E+17,3.75E+17,2.99E+17,6.00E+17,31400.424,0.01,100.826,882,155,106,02-23-2018,none,94.7
NOLSM151616,22-02-2019 ?? 9:04:30,6,16,1,Oxidation,dry,1075.698265,O2,33.47,0.208,124,703.775,1,Photo,2.18147,16.917,15.059,19.999,198.925,90,500.038,4042.905,4982.143,5.008,91.859,30.007,1,37.213,Hg-Arc,G,405,509.415,107.561,3,Etching,157,1343,3642,5711,70.944,51.155,1.026,3,Implantation,1.52E+16,1.76E+17,5.12E+17,3.02E+17,6.00E+17,30763.793,0.01,99.639,895,156,68,02-23-2018,none,96.6
NOLSM152617,22-02-2019 ?? 9:04:30,6,17,1,Oxidation,wet,1039.367259,O2,36.92,0.197,59,715.505,1,Photo,1.31503,15.842,14.788,20.009,201.192,90,500.848,3987.067,4970.261,5.014,92.849,30.007,2,47.187,Hg-Arc,H,365,516.877,109.055,2,Etching,362,1487,3634,5737,70.467,51.33,1.024,2,Implantation,1.73E+16,8.09E+16,5.51E+17,2.99E+17,6.00E+17,32021.918,0.01,102.771,909,153,83,02-23-2018,none,95.85
NOLSM153618,22-02-2019 ?? 9:04:30,6,18,1,Oxidation,wet,1073.721975,H2O,32.06,0.207,164,695.708,1,Photo,1.20536,13.988,14.904,20.003,201.11,90,501.052,3955.645,5001.707,4.984,90.514,30.005,3,33.933,Hg-Arc,G,405,537.942,109.296,1,Etching,386,1242,3672,5719,69.779,51.833,1.035,1,Implantation,1.18E+16,1.88E+17,1.02E+18,3.02E+17,6.00E+17,30633.38,0.01,104.584,905,154,68,02-23-2018,none,96.6
NOLSM154619,22-02-2019 ?? 9:04:30,6,19,1,Oxidation,wet,1145.256355,H2O,29.95,0.204,115,708.881,2,Photo,1.05396,13.134,15.074,20.005,204.58,90,497.968,3908.851,5139.623,5.067,91.647,30.002,1,31.45,Hg-Arc,G,436,528.79,107.562,1,Etching,470,1520,3644,5718,68.809,50.716,1.037,1,Implantation,1.04E+16,7.74E+16,9.51E+16,3.01E+17,6.00E+17,30605.867,0.01,102.588,886,156,69,02-23-2018,none,96.55
NOLSM155620,22-02-2019 ?? 9:04:30,6,20,1,Oxidation,wet,1224.933966,O2,29.79,0.196,8,702.273,2,Photo,0.72173,15.068,14.99,20,198.61,90.001,500.868,4070.865,5050.582,5.084,92.47,29.995,2,33.772,Hg-Arc,G,436,524.495,109.621,2,Etching,418,1524,3635,5710,71.225,51.285,1.039,2,Implantation,1.23E+16,7.14E+16,3.83E+17,2.99E+17,6.00E+17,32150.501,0.01,102.687,898,154,107,02-23-2018,none,94.65
NOLSM156621,22-02-2019 ?? 9:04:30,6,21,1,Oxidation,dry,1236.932859,O2,28.05,0.203,167,708.257,2,Photo,0.97604,12.965,14.99,19.997,201.173,89.999,497.32,4073.84,5081.391,4.928,89.766,30.005,3,33.146,Hg-Arc,H,436,554.141,106.551,3,Etching,99,1570,3653,5715,72.395,50.909,1.014,3,Implantation,1.29E+16,1.37E+17,3.09E+17,2.99E+17,6.00E+17,33009.054,0.01,101.899,915,154,75,02-23-2018,none,96.25
NOLSM157622,22-02-2019 ?? 9:04:30,6,22,1,Oxidation,dry,1102.838464,O2,33.6,0.204,114,696.21,3,Photo,2.16264,15.755,15.005,20.003,199.005,90,498.841,4109.131,4954.072,5.035,90.765,30,2,47.645,Hg-Arc,H,405,505.045,107.389,2,Etching,280,1271,3641,5703,70.481,50.32,0.987,2,Implantation,1.35E+16,6.67E+16,6.27E+17,2.98E+17,6.00E+17,31843.827,0.01,100.682,912,152,31,02-23-2018,none,98.45
NOLSM158623,22-02-2019 ?? 9:04:30,6,23,1,Oxidation,wet,1151.560926,H2O,32.18,0.206,104,708.267,3,Photo,1.65988,13.311,14.958,20.001,201.381,90.001,497.008,4017.526,5046.224,5.043,93.139,29.99,3,56.532,Hg-Arc,G,365,511.826,108.456,1,Etching,195,1436,3651,5704,71.438,50.623,1.01,1,Implantation,2.21E+16,1.51E+17,4.07E+17,3.01E+17,6.00E+17,31872.384,0.01,104.516,898,152,71,02-23-2018,none,96.45
NOLSM159624,22-02-2019 ?? 9:04:30,6,24,2,Oxidation,dry,1047.141233,O2,35.01,0.214,122,709.319,1,Photo,1.59416,13.606,15.079,20.003,202.401,90.001,501.854,4079.103,5011.243,5.052,91.971,29.993,1,68.056,Hg-Arc,G,405,500.912,107.193,1,Etching,49,1398,3633,5724,71.532,50.292,1.04,1,Implantation,9.31E+15,4.15E+16,8.62E+17,2.99E+17,6.00E+17,31336.263,0.01,102.568,895,156,61,02-23-2018,none,96.95
NOLSM160625,22-02-2019 ?? 9:04:30,6,25,2,Oxidation,wet,1053.521736,H2O,38.58,0.201,130,720.601,1,Photo,1.46398,17.619,15.13,19.997,195.089,90,498.59,4208.676,4859.641,5.047,90.932,30.016,2,43.378,Hg-Arc,H,365,542.537,108.586,2,Etching,548,1406,3682,5720,71.573,50.69,1.016,2,Implantation,1.36E+16,1.18E+17,5.84E+17,3.01E+17,6.00E+17,33259.559,0.01,103.466,866,157,120,02-23-2018,none,94
NOLSM161626,22-02-2019 ?? 9:04:30,6,26,2,Oxidation,wet,1012.505975,H2O,31.09,0.209,158,711.69,1,Photo,1.44505,16.3,15.06,19.997,201.484,89.999,498.456,4075.958,4919.492,4.96,90.563,30.006,3,26.238,Hg-Arc,H,365,526.796,109.346,3,Etching,330,1575,3657,5701,71.271,51.365,1.064,3,Implantation,1.45E+16,9.28E+16,5.70E+17,2.98E+17,6.00E+17,31061.816,0.01,100.571,908,153,135,02-23-2018,none,93.25
NOLSM162627,22-02-2019 ?? 9:04:30,6,27,2,Oxidation,dry,1136.362631,H2O,33.94,0.213,68,707.981,2,Photo,1.52833,14.706,15.061,19.991,203.223,90.001,498.723,3995.777,5012.291,5.077,92.931,29.999,1,55.854,Hg-Arc,H,365,517.972,107.295,3,Etching,307,1591,3659,5687,71.035,51.542,1.046,3,Implantation,1.18E+16,1.38E+17,1.13E+17,2.98E+17,6.00E+17,32412.623,0.01,100.917,905,150,135,02-23-2018,none,93.25
NOLSM16371,23-02-2019 ?? 9:04:30,7,1,2,Oxidation,wet,936.0339433,H2O,33.37,0.195,66,702.454,2,Photo,0.62438,12.448,15.074,19.997,199.594,90,497.408,4023.411,5091.006,5.011,92.114,29.994,2,36.797,Hg-Arc,H,405,517.864,105.323,2,Etching,362,1555,3658,5684,72.388,51.396,1.025,2,Implantation,9.27E+15,8.88E+16,8.10E+17,3.01E+17,6.00E+17,31617.743,0.01,104.322,891,152,96,02-24-2018,none,95.2
NOLSM16472,23-02-2019 ?? 9:04:30,7,2,2,Oxidation,wet,1058.102013,H2O,32.52,0.21,95,702.73,2,Photo,1.37233,18.485,15.097,20.005,195.839,90,498.089,4068.182,4862.981,5.041,91.493,29.997,3,51.17,Hg-Arc,I,436,483.867,106.947,1,Etching,180,1438,3638,5720,72.414,50.402,1.042,1,Implantation,1.45E+16,1.71E+17,6.85E+17,3.01E+17,6.00E+17,31073.304,0.01,104.046,894,155,79,02-24-2018,none,96.05
NOLSM16573,23-02-2019 ?? 9:04:30,7,3,2,Oxidation,dry,1033.544293,H2O,35.17,0.207,121,710.805,3,Photo,0.79249,14.916,15.12,19.996,200.519,90,496.931,4108.048,4993.695,5.056,92.321,29.999,1,41.177,Hg-Arc,G,405,516.912,106.861,1,Etching,397,1530,3655,5713,71.499,51.124,1.034,1,Implantation,8.32E+15,1.34E+17,8.38E+17,3.03E+17,6.00E+17,30527.029,0.01,105.044,914,153,61,02-24-2018,none,96.95
NOLSM16674,23-02-2019 ?? 9:04:30,7,4,2,Oxidation,dry,1176.856373,H2O,41.25,0.203,65,702.66,3,Photo,1.81996,17.434,14.949,20,201.888,90,499.993,3956.855,4867.108,5.077,93.5,29.993,2,35.781,Hg-Arc,H,365,489.751,105.888,2,Etching,228,1479,3666,5697,68.897,51.159,1.025,2,Implantation,1.96E+16,9.82E+16,6.89E+17,3.00E+17,6.00E+17,31488.967,0.01,101.687,919,155,60,02-24-2018,none,97
NOLSM16775,23-02-2019 ?? 9:04:30,7,5,2,Oxidation,dry,1060.907105,O2,42.71,0.2,83,708.294,3,Photo,0.9199,12.611,15.018,19.995,200.247,90,506.359,3959.731,5028.945,5.062,92.406,29.995,3,41.965,Hg-Arc,H,365,523.853,105.717,3,Etching,256,1483,3657,5703,69.714,51.613,1.026,3,Implantation,6.85E+15,1.39E+17,5.96E+17,3.00E+17,6.00E+17,32340.532,0.01,102.582,920,154,105,02-24-2018,none,94.75
NOLSM16876,23-02-2019 ?? 9:04:30,7,6,3,Oxidation,dry,951.9734247,O2,36.26,0.206,106,705.357,1,Photo,1.43437,18.507,14.899,20.001,205.061,90.001,495.368,3998.319,5002.267,5.119,93.069,30.008,1,35.574,Hg-Arc,H,365,490.915,109.575,3,Etching,372,1546,3649,5719,71.319,51.801,1.072,3,Implantation,9.30E+15,1.24E+17,1.11E+18,3.02E+17,6.00E+17,31485.171,0.01,104.046,914,153,118,02-24-2018,none,94.1
NOLSM16977,23-02-2019 ?? 9:04:30,7,7,3,Oxidation,dry,1059.954763,O2,34.77,0.217,178,711.67,1,Photo,1.21607,17.346,14.825,19.998,197.799,90,504.906,3985.824,5126.642,5.091,92.612,30.005,2,32.462,Hg-Arc,I,365,547.14,109.492,2,Etching,374,1518,3624,5686,70.351,51.802,1.046,2,Implantation,1.28E+16,3.26E+16,7.46E+17,3.00E+17,6.00E+17,32281.227,0.01,103.846,899,157,112,02-24-2018,none,94.4
NOLSM17078,23-02-2019 ?? 9:04:30,7,8,3,Oxidation,wet,1148.860688,O2,28.1,0.211,166,715.269,1,Photo,0.74181,17.449,15.008,20.004,198.256,89.999,500.889,3926.592,4814.62,5.134,92.008,30,3,56.549,Hg-Arc,H,405,541.991,107.625,1,Etching,287,1411,3698,5709,70.462,52.084,1.038,1,Implantation,6.91E+15,1.18E+17,7.90E+17,3.00E+17,6.00E+17,31613.412,0.01,103.105,867,154,180,02-24-2018,none,91
NOLSM17179,23-02-2019 ?? 9:04:30,7,9,3,Oxidation,wet,973.1779988,H2O,39.92,0.206,156,699.922,2,Photo,0.97939,16.576,15.21,20.006,200.579,90.001,500.423,3971.44,4982.476,4.943,91.91,30.003,1,42.664,Hg-Arc,I,405,483.197,111.116,1,Etching,230,1442,3644,5716,70.864,51.429,1.025,1,Implantation,2.00E+16,1.35E+17,6.04E+17,2.99E+17,6.00E+17,31933.395,0.01,100.853,891,153,71,02-24-2018,none,96.45
NOLSM172710,23-02-2019 ?? 9:04:30,7,10,3,Oxidation,wet,959.967293,O2,32.28,0.216,44,714.436,2,Photo,0.77486,16.59,15.146,19.994,204.542,90,504.163,3989.581,5046.834,5.079,93.593,30.005,2,46.774,Hg-Arc,H,405,529.58,107.433,2,Etching,521,1493,3666,5746,70.464,51.041,1.016,2,Implantation,1.21E+16,1.46E+17,9.90E+17,3.01E+17,6.00E+17,32572.997,0.01,102.439,884,153,97,02-24-2018,none,95.15
NOLSM173711,23-02-2019 ?? 9:04:30,7,11,3,Oxidation,wet,1186.253634,H2O,32.5,0.21,148,711.998,3,Photo,0.51875,14.282,14.977,20.001,200.495,89.999,501.179,4093.76,4975.562,4.969,91.699,29.998,1,33.609,Hg-Arc,H,365,500.199,107.786,3,Etching,378,1586,3645,5705,71.565,50.771,1.023,3,Implantation,1.28E+16,1.39E+17,5.17E+17,2.98E+17,6.00E+17,30988.997,0.01,103.606,882,155,91,02-24-2018,none,95.45
NOLSM174712,23-02-2019 ?? 9:04:30,7,12,3,Oxidation,dry,1082.082355,H2O,22.76,0.209,109,693.95,3,Photo,1.19101,11.453,15.005,20.004,193.932,90,502.963,3972.978,5021.709,5.051,91.943,30.006,2,39.549,Hg-Arc,I,405,504.607,108.511,2,Etching,333,1598,3653,5716,71.418,51.229,1.047,2,Implantation,1.24E+16,1.66E+17,9.27E+16,2.99E+17,6.00E+17,31246.691,0.01,104.056,891,153,92,02-24-2018,none,95.4
NOLSM175713,23-02-2019 ?? 9:04:30,7,13,3,Oxidation,wet,1085.791792,O2,35.01,0.208,94,695.374,3,Photo,0.73164,15.963,14.951,20.004,198.889,89.999,501.202,3990.542,4893.284,4.951,92.601,29.989,3,36.083,Hg-Arc,I,436,481.768,106.239,1,Etching,409,1421,3663,5726,70.726,51.76,1.008,1,Implantation,2.33E+16,1.27E+17,6.36E+17,3.00E+17,6.00E+17,31441.726,0.01,101.041,914,152,56,02-24-2018,none,97.2
NOLSM176714,23-02-2019 ?? 9:04:30,7,14,1,Oxidation,wet,1011.354551,O2,33.77,0.209,145,737.402,1,Photo,1.41868,14.517,14.949,20.004,194.997,90.003,498.961,4011.356,5027.332,5.151,92.587,30.004,1,44.608,Hg-Arc,H,436,533.321,107.513,1,Etching,359,1339,3654,5716,69.644,51.526,1.026,1,Implantation,1.56E+16,1.38E+17,3.54E+17,3.01E+17,6.00E+17,31784.636,0.01,98.623,879,155,112,02-24-2018,none,94.4
NOLSM177715,23-02-2019 ?? 9:04:30,7,15,1,Oxidation,wet,1110.513899,H2O,34.06,0.213,147,689.206,1,Photo,2.34062,15.651,15.104,19.994,198.542,90,496.098,3985.668,4931.349,4.99,91.313,29.993,3,42.265,Hg-Arc,G,365,513.857,106.96,3,Etching,171,1312,3660,5721,69.784,50.415,1.043,3,Implantation,1.55E+16,6.93E+16,5.60E+17,3.00E+17,6.00E+17,32590.331,0.01,100.715,887,154,92,02-24-2018,none,95.4
NOLSM178716,23-02-2019 ?? 9:04:30,7,16,1,Oxidation,dry,1165.358359,H2O,41.5,0.212,173,708.822,2,Photo,2.11562,16.096,15.046,19.99,205.734,90,502.714,4022.502,4957.112,4.956,93.97,30.005,1,58.485,Hg-Arc,H,365,490.119,107.934,3,Etching,265,1428,3642,5692,70.47,51.062,1.037,3,Implantation,1.08E+16,2.16E+16,7.04E+16,3.00E+17,6.00E+17,30585.399,0.01,102.692,915,155,72,02-24-2018,none,96.4
NOLSM179717,23-02-2019 ?? 9:04:30,7,17,1,Oxidation,wet,1152.78383,O2,44.51,0.185,203,713.834,2,Photo,1.98321,18.135,15.078,20.002,201.17,90.002,500.234,4012.915,4970.133,5.06,91.436,30.008,3,40.862,Hg-Arc,I,405,512.337,109.647,1,Etching,366,1284,3652,5724,69.714,52.005,1.041,1,Implantation,1.17E+16,6.61E+16,3.31E+17,3.01E+17,6.00E+17,31756.475,0.01,104.722,922,151,81,02-24-2018,none,95.95
NOLSM180718,23-02-2019 ?? 9:04:30,7,18,1,Oxidation,dry,954.0907483,O2,30.27,0.214,144,720.384,3,Photo,1.36377,15.542,14.997,19.997,201.087,90.001,495.148,4033.884,4991.406,5.083,91.737,30.009,1,12.635,Hg-Arc,G,405,507.826,103.407,1,Etching,635,1484,3642,5723,71.678,51.297,1.023,1,Implantation,1.60E+16,1.35E+17,6.72E+17,2.99E+17,6.00E+17,30418.922,0.01,103.391,890,157,200,02-24-2018,[['Center']],90
NOLSM181719,23-02-2019 ?? 9:04:30,7,19,1,Oxidation,wet,1032.720008,O2,40.95,0.228,114,704.562,3,Photo,0.64254,14.514,14.943,19.994,197.947,90,503.102,4074.752,5024.075,5,95.216,29.997,2,39.491,Hg-Arc,I,405,498.218,107.116,2,Etching,417,1562,3654,5723,71.108,51.82,1.041,2,Implantation,1.10E+16,1.68E+17,5.63E+17,3.01E+17,6.00E+17,31410.459,0.01,104.351,905,154,136,02-24-2018,none,93.2
NOLSM182720,23-02-2019 ?? 9:04:30,7,20,1,Oxidation,dry,1178.657464,O2,30.51,0.199,24,721.147,3,Photo,1.06283,15.145,15.055,20.006,197.32,90,499.877,3975.994,4944.217,4.928,90.469,30.004,3,40.003,Hg-Arc,H,405,486.925,108.228,3,Etching,357,1482,3677,5740,69.37,51.096,1.022,3,Implantation,9.31E+15,7.49E+16,3.28E+17,3.01E+17,6.00E+17,32178.83,0.01,102.592,909,157,123,02-24-2018,none,93.85
NOLSM183721,23-02-2019 ?? 9:04:30,7,21,2,Oxidation,dry,1102.427433,H2O,31.07,0.208,187,704.535,1,Photo,1.76504,9.497,15.075,20.002,204.119,90,499.05,4040.881,4900.149,5.01,92.9,29.999,1,48.496,Hg-Arc,G,405,478.867,108.068,3,Etching,315,1520,3644,5699,70.939,51.357,1.033,3,Implantation,1.68E+16,7.88E+16,6.86E+17,3.01E+17,6.00E+17,33085.183,0.01,101.153,858,153,112,02-24-2018,none,94.4
NOLSM184722,23-02-2019 ?? 9:04:30,7,22,2,Oxidation,dry,993.5121451,H2O,36.9,0.202,80,715.659,1,Photo,1.11564,14.014,14.949,19.995,201.169,89.999,503.535,3957.1,5065.311,5.036,90.335,29.995,2,60.983,Hg-Arc,I,436,524.896,108.843,2,Etching,369,1284,3690,5729,72.38,50.795,1.037,2,Implantation,1.45E+16,1.32E+17,1.10E+17,3.03E+17,6.00E+17,30972.523,0.01,104.541,904,155,101,02-24-2018,none,94.95
NOLSM185723,23-02-2019 ?? 9:04:30,7,23,2,Oxidation,dry,1048.45687,O2,35.45,0.196,32,711.146,1,Photo,1.11078,15.099,15.026,20.003,199.123,90.001,497.264,4070.621,4894.696,5.046,91.524,30.01,3,46.862,Hg-Arc,I,365,504.806,108.156,1,Etching,496,1511,3641,5737,69.226,50.722,1.027,1,Implantation,9.39E+15,1.77E+17,6.66E+17,3.01E+17,6.00E+17,31807.558,0.01,102.336,932,155,78,02-24-2018,none,96.1
